Prénom,Date,Emissions_CO2 (g),Type_Activité
Alexis,2024-09-24,5.67,type4
Alexis,2024-09-25,3.15,type4
Alexis,2024-09-26,1.26,type4
Alexis,2024-09-27,1.26,type4
Alexis,2024-09-28,23.31,type4
Alexis,2024-09-29,3.15,type4
Alexis,2024-09-30,10.08,type4
Anaëlle,2024-09-01,6.3,type4
Anaëlle,2024-09-02,1.26,type4
Anaëlle,2024-09-03,6.3,type4
Anaëlle,2024-09-04,5.67,type4
Anaëlle,2024-09-05,6.93,type4
Anaëlle,2024-09-06,3.15,type4
Anaëlle,2024-09-07,3.78,type4
Anaëlle,2024-09-08,16.38,type4
Anaëlle,2024-09-09,8.82,type4
Anaëlle,2024-09-10,2.52,type4
Anaëlle,2024-09-11,3.78,type4
Anaëlle,2024-09-12,2.52,type4
Anaëlle,2024-09-13,6.3,type4
Anaëlle,2024-09-14,10.71,type4
Anaëlle,2024-09-15,14.49,type4
Anaëlle,2024-09-16,3.78,type4
Anaëlle,2024-09-17,0.63,type4
Anaëlle,2024-09-18,6.93,type4
Anaëlle,2024-09-19,0.63,type4
Anaëlle,2024-09-20,8.82,type4
Anaëlle,2024-09-21,5.04,type4
Anaëlle,2024-09-22,11.34,type4
Anaëlle,2024-09-23,0.0,type4
Anaëlle,2024-09-24,5.67,type4
Anaëlle,2024-09-25,11.97,type4
Anaëlle,2024-09-26,16.38,type4
Anaëlle,2024-09-27,0.63,type4
Anaëlle,2024-09-28,6.93,type4
Anaëlle,2024-09-29,11.97,type4
Anaëlle,2024-09-30,8.19,type4
Arthur,2024-09-01,1.89,type4
Arthur,2024-09-02,8.19,type4
Arthur,2024-09-03,6.93,type4
Arthur,2024-09-04,3.15,type4
Arthur,2024-09-05,8.82,type4
Arthur,2024-09-06,10.71,type4
Arthur,2024-09-07,6.93,type4
Arthur,2024-09-08,2.52,type4
Arthur,2024-09-09,4.41,type4
Arthur,2024-09-10,6.93,type4
Arthur,2024-09-11,7.56,type4
Arthur,2024-09-12,5.67,type4
Arthur,2024-09-13,10.71,type4
Arthur,2024-09-14,21.42,type4
Arthur,2024-09-15,3.15,type4
Arthur,2024-09-16,6.3,type4
Arthur,2024-09-17,13.23,type4
Arthur,2024-09-18,5.67,type4
Arthur,2024-09-19,2.52,type4
Arthur,2024-09-20,13.86,type4
Arthur,2024-09-21,12.6,type4
Arthur,2024-09-22,3.15,type4
Arthur,2024-09-23,18.27,type4
Arthur,2024-09-24,0.0,type4
Arthur,2024-09-25,8.82,type4
Arthur,2024-09-26,12.6,type4
Arthur,2024-09-27,1.89,type4
Arthur,2024-09-28,6.93,type4
Arthur,2024-09-29,12.6,type4
Arthur,2024-09-30,6.3,type4
Aslam,2024-09-01,8.82,type4
Aslam,2024-09-02,11.97,type4
Aslam,2024-09-03,14.49,type4
Aslam,2024-09-04,5.67,type4
Aslam,2024-09-05,6.3,type4
Aslam,2024-09-06,4.41,type4
Aslam,2024-09-07,15.12,type4
Aslam,2024-09-08,6.3,type4
Aslam,2024-09-09,3.78,type4
Aslam,2024-09-10,6.93,type4
Aslam,2024-09-11,10.08,type4
Aslam,2024-09-12,8.82,type4
Aslam,2024-09-13,10.08,type4
Aslam,2024-09-14,9.45,type4
Aslam,2024-09-15,11.34,type4
Aslam,2024-09-16,13.86,type4
Aslam,2024-09-17,0.63,type4
Aslam,2024-09-18,3.78,type4
Aslam,2024-09-19,5.67,type4
Aslam,2024-09-20,0.0,type4
Aslam,2024-09-21,8.82,type4
Aslam,2024-09-22,12.6,type4
Aslam,2024-09-23,12.6,type4
Aslam,2024-09-24,9.45,type4
Aslam,2024-09-25,7.56,type4
Aslam,2024-09-26,3.78,type4
Aslam,2024-09-27,6.93,type4
Aslam,2024-09-28,7.56,type4
Aslam,2024-09-29,9.45,type4
Aslam,2024-09-30,8.19,type4
Colin,2024-09-01,13.86,type4
Colin,2024-09-02,9.45,type4
Colin,2024-09-03,7.56,type4
Colin,2024-09-04,0.63,type4
Colin,2024-09-05,6.93,type4
Colin,2024-09-06,5.67,type4
Colin,2024-09-07,7.56,type4
Colin,2024-09-08,1.26,type4
Colin,2024-09-09,8.19,type4
Colin,2024-09-10,1.89,type4
Colin,2024-09-11,1.89,type4
Colin,2024-09-12,5.04,type4
Colin,2024-09-13,5.67,type4
Colin,2024-09-14,9.45,type4
Colin,2024-09-15,4.41,type4
Colin,2024-09-16,6.3,type4
Colin,2024-09-17,6.3,type4
Colin,2024-09-18,9.45,type4
Colin,2024-09-19,8.82,type4
Colin,2024-09-20,13.86,type4
Colin,2024-09-21,4.41,type4
Colin,2024-09-22,1.89,type4
Colin,2024-09-23,17.01,type4
Colin,2024-09-24,17.64,type4
Colin,2024-09-25,10.08,type4
Colin,2024-09-26,5.04,type4
Colin,2024-09-27,6.3,type4
Colin,2024-09-28,8.82,type4
Colin,2024-09-29,2.52,type4
Colin,2024-09-30,5.04,type4
Corentin,2024-09-01,8.19,type4
Corentin,2024-09-02,8.19,type4
Corentin,2024-09-03,6.93,type4
Corentin,2024-09-04,4.41,type4
Corentin,2024-09-05,10.71,type4
Corentin,2024-09-06,6.93,type4
Corentin,2024-09-07,3.15,type4
Corentin,2024-09-08,11.34,type4
Corentin,2024-09-09,2.52,type4
Corentin,2024-09-10,9.45,type4
Corentin,2024-09-11,5.04,type4
Corentin,2024-09-12,15.75,type4
Corentin,2024-09-13,11.34,type4
Corentin,2024-09-14,7.56,type4
Corentin,2024-09-15,18.27,type4
Corentin,2024-09-16,11.34,type4
Corentin,2024-09-17,6.93,type4
Corentin,2024-09-18,8.82,type4
Corentin,2024-09-19,1.26,type4
Corentin,2024-09-20,2.52,type4
Corentin,2024-09-21,6.3,type4
Corentin,2024-09-22,7.56,type4
Corentin,2024-09-23,5.04,type4
Corentin,2024-09-24,17.64,type4
Corentin,2024-09-25,6.93,type4
Corentin,2024-09-26,5.67,type4
Corentin,2024-09-27,3.78,type4
Corentin,2024-09-28,12.6,type4
Corentin,2024-09-29,0.0,type4
Corentin,2024-09-30,8.19,type4
Célestin,2024-09-01,6.3,type4
Célestin,2024-09-02,8.19,type4
Célestin,2024-09-03,6.3,type4
Célestin,2024-09-04,5.67,type4
Célestin,2024-09-05,13.86,type4
Célestin,2024-09-06,7.56,type4
Célestin,2024-09-07,0.63,type4
Célestin,2024-09-08,8.19,type4
Célestin,2024-09-09,5.67,type4
Célestin,2024-09-10,0.63,type4
Célestin,2024-09-11,16.38,type4
Célestin,2024-09-12,3.15,type4
Célestin,2024-09-13,12.6,type4
Célestin,2024-09-14,7.56,type4
Célestin,2024-09-15,22.68,type4
Célestin,2024-09-16,8.19,type4
Célestin,2024-09-17,7.56,type4
Célestin,2024-09-18,6.3,type4
Célestin,2024-09-19,6.93,type4
Célestin,2024-09-20,3.15,type4
Célestin,2024-09-21,10.08,type4
Célestin,2024-09-22,10.08,type4
Célestin,2024-09-23,1.89,type4
Célestin,2024-09-24,1.89,type4
Célestin,2024-09-25,0.63,type4
Célestin,2024-09-26,1.26,type4
Célestin,2024-09-27,6.93,type4
Célestin,2024-09-28,11.97,type4
Célestin,2024-09-29,20.79,type4
Célestin,2024-09-30,10.71,type4
Emrecan,2024-09-01,12.6,type4
Emrecan,2024-09-02,5.04,type4
Emrecan,2024-09-03,7.56,type4
Emrecan,2024-09-04,8.19,type4
Emrecan,2024-09-05,8.19,type4
Emrecan,2024-09-06,8.82,type4
Emrecan,2024-09-07,1.26,type4
Emrecan,2024-09-08,21.42,type4
Emrecan,2024-09-09,1.26,type4
Emrecan,2024-09-10,6.3,type4
Emrecan,2024-09-11,6.3,type4
Emrecan,2024-09-12,3.15,type4
Emrecan,2024-09-13,6.3,type4
Emrecan,2024-09-14,16.38,type4
Emrecan,2024-09-15,6.93,type4
Emrecan,2024-09-16,6.93,type4
Emrecan,2024-09-17,0.0,type4
Emrecan,2024-09-18,10.08,type4
Emrecan,2024-09-19,15.12,type4
Emrecan,2024-09-20,8.19,type4
Emrecan,2024-09-21,11.34,type4
Emrecan,2024-09-22,6.93,type4
Emrecan,2024-09-23,1.26,type4
Emrecan,2024-09-24,6.3,type4
Emrecan,2024-09-25,5.04,type4
Emrecan,2024-09-26,15.75,type4
Emrecan,2024-09-27,0.63,type4
Emrecan,2024-09-28,7.56,type4
Emrecan,2024-09-29,5.04,type4
Emrecan,2024-09-30,6.3,type4
Erika,2024-09-01,10.08,type4
Erika,2024-09-02,9.45,type4
Erika,2024-09-03,8.19,type4
Erika,2024-09-04,16.38,type4
Erika,2024-09-05,3.15,type4
Erika,2024-09-06,15.75,type4
Erika,2024-09-07,10.71,type4
Erika,2024-09-08,3.15,type4
Erika,2024-09-09,6.93,type4
Erika,2024-09-10,6.3,type4
Erika,2024-09-11,5.04,type4
Erika,2024-09-12,8.82,type4
Erika,2024-09-13,1.89,type4
Erika,2024-09-14,8.19,type4
Erika,2024-09-15,11.34,type4
Erika,2024-09-16,6.93,type4
Erika,2024-09-17,4.41,type4
Erika,2024-09-18,6.93,type4
Erika,2024-09-19,11.97,type4
Erika,2024-09-20,2.52,type4
Erika,2024-09-21,3.15,type4
Erika,2024-09-22,17.64,type4
Erika,2024-09-23,7.56,type4
Erika,2024-09-24,6.3,type4
Erika,2024-09-25,5.04,type4
Erika,2024-09-26,0.0,type4
Erika,2024-09-27,8.19,type4
Erika,2024-09-28,5.67,type4
Erika,2024-09-29,0.63,type4
Erika,2024-09-30,3.78,type4
Erman,2024-09-01,11.97,type4
Erman,2024-09-02,6.93,type4
Erman,2024-09-03,8.19,type4
Erman,2024-09-04,3.15,type4
Erman,2024-09-05,2.52,type4
Erman,2024-09-06,6.3,type4
Erman,2024-09-07,6.3,type4
Erman,2024-09-08,8.19,type4
Erman,2024-09-09,8.82,type4
Erman,2024-09-10,1.89,type4
Erman,2024-09-11,6.3,type4
Erman,2024-09-12,1.89,type4
Erman,2024-09-13,3.78,type4
Erman,2024-09-14,5.04,type4
Erman,2024-09-15,0.0,type4
Erman,2024-09-16,8.19,type4
Erman,2024-09-17,6.93,type4
Erman,2024-09-18,14.49,type4
Erman,2024-09-19,8.82,type4
Erman,2024-09-20,6.93,type4
Erman,2024-09-21,17.64,type4
Erman,2024-09-22,15.12,type4
Erman,2024-09-23,14.49,type4
Erman,2024-09-24,6.3,type4
Erman,2024-09-25,8.19,type4
Erman,2024-09-26,0.63,type4
Erman,2024-09-27,2.52,type4
Erman,2024-09-28,4.41,type4
Erman,2024-09-29,15.75,type4
Erman,2024-09-30,12.6,type4
Erwann,2024-09-01,15.12,type4
Erwann,2024-09-02,6.3,type4
Erwann,2024-09-03,8.19,type4
Erwann,2024-09-04,6.93,type4
Erwann,2024-09-05,5.67,type4
Erwann,2024-09-06,11.97,type4
Erwann,2024-09-07,11.97,type4
Erwann,2024-09-08,11.34,type4
Erwann,2024-09-09,15.75,type4
Erwann,2024-09-10,5.67,type4
Erwann,2024-09-11,8.82,type4
Erwann,2024-09-12,13.86,type4
Erwann,2024-09-13,7.56,type4
Erwann,2024-09-14,8.19,type4
Erwann,2024-09-15,8.82,type4
Erwann,2024-09-16,3.78,type4
Erwann,2024-09-17,6.3,type4
Erwann,2024-09-18,15.12,type4
Erwann,2024-09-19,3.15,type4
Erwann,2024-09-20,5.67,type4
Erwann,2024-09-21,6.93,type4
Erwann,2024-09-22,8.19,type4
Erwann,2024-09-23,13.86,type4
Erwann,2024-09-24,7.56,type4
Erwann,2024-09-25,8.82,type4
Erwann,2024-09-26,4.41,type4
Erwann,2024-09-27,9.45,type4
Erwann,2024-09-28,5.04,type4
Erwann,2024-09-29,8.19,type4
Erwann,2024-09-30,8.19,type4
Fayçal,2024-09-01,19.53,type4
Fayçal,2024-09-02,3.15,type4
Fayçal,2024-09-03,4.41,type4
Fayçal,2024-09-04,17.64,type4
Fayçal,2024-09-05,6.93,type4
Fayçal,2024-09-06,6.3,type4
Fayçal,2024-09-07,11.34,type4
Fayçal,2024-09-08,7.56,type4
Fayçal,2024-09-09,3.78,type4
Fayçal,2024-09-10,8.82,type4
Fayçal,2024-09-11,6.93,type4
Fayçal,2024-09-12,10.08,type4
Fayçal,2024-09-13,2.52,type4
Fayçal,2024-09-14,10.08,type4
Fayçal,2024-09-15,5.04,type4
Fayçal,2024-09-16,3.15,type4
Fayçal,2024-09-17,11.97,type4
Fayçal,2024-09-18,10.08,type4
Fayçal,2024-09-19,17.01,type4
Fayçal,2024-09-20,13.23,type4
Fayçal,2024-09-21,0.63,type4
Fayçal,2024-09-22,12.6,type4
Fayçal,2024-09-23,5.67,type4
Fayçal,2024-09-24,1.89,type4
Fayçal,2024-09-25,9.45,type4
Fayçal,2024-09-26,6.93,type4
Fayçal,2024-09-27,3.78,type4
Fayçal,2024-09-28,6.93,type4
Fayçal,2024-09-29,10.71,type4
Fayçal,2024-09-30,0.63,type4
Florian,2024-09-01,9.45,type4
Florian,2024-09-02,3.78,type4
Florian,2024-09-03,8.19,type4
Florian,2024-09-04,13.86,type4
Florian,2024-09-05,5.67,type4
Florian,2024-09-06,8.82,type4
Florian,2024-09-07,3.78,type4
Florian,2024-09-08,9.45,type4
Florian,2024-09-09,13.23,type4
Florian,2024-09-10,6.3,type4
Florian,2024-09-11,4.41,type4
Florian,2024-09-12,7.56,type4
Florian,2024-09-13,7.56,type4
Florian,2024-09-14,8.19,type4
Florian,2024-09-15,3.15,type4
Florian,2024-09-16,5.04,type4
Florian,2024-09-17,7.56,type4
Florian,2024-09-18,3.78,type4
Florian,2024-09-19,6.93,type4
Florian,2024-09-20,7.56,type4
Florian,2024-09-21,0.0,type4
Florian,2024-09-22,0.0,type4
Florian,2024-09-23,11.34,type4
Florian,2024-09-24,6.93,type4
Florian,2024-09-25,0.0,type4
Florian,2024-09-26,17.64,type4
Florian,2024-09-27,6.93,type4
Florian,2024-09-28,8.82,type4
Florian,2024-09-29,10.08,type4
Florian,2024-09-30,8.19,type4
Hugo,2024-09-01,4.41,type4
Hugo,2024-09-02,0.0,type4
Hugo,2024-09-03,5.04,type4
Hugo,2024-09-04,2.52,type4
Hugo,2024-09-05,5.67,type4
Hugo,2024-09-06,6.93,type4
Hugo,2024-09-07,12.6,type4
Hugo,2024-09-08,4.41,type4
Hugo,2024-09-09,8.82,type4
Hugo,2024-09-10,5.04,type4
Hugo,2024-09-11,8.19,type4
Hugo,2024-09-12,5.67,type4
Hugo,2024-09-13,6.93,type4
Hugo,2024-09-14,11.34,type4
Hugo,2024-09-15,27.09,type4
Hugo,2024-09-16,10.08,type4
Hugo,2024-09-17,3.78,type4
Hugo,2024-09-18,8.19,type4
Hugo,2024-09-19,18.27,type4
Hugo,2024-09-20,5.04,type4
Hugo,2024-09-21,18.27,type4
Hugo,2024-09-22,8.19,type4
Hugo,2024-09-23,1.89,type4
Hugo,2024-09-24,5.04,type4
Hugo,2024-09-25,2.52,type4
Hugo,2024-09-26,8.82,type4
Hugo,2024-09-27,2.52,type4
Hugo,2024-09-28,23.94,type4
Hugo,2024-09-29,10.08,type4
Hugo,2024-09-30,7.56,type4
Ilane,2024-09-01,5.04,type4
Ilane,2024-09-02,5.67,type4
Ilane,2024-09-03,8.82,type4
Ilane,2024-09-04,11.97,type4
Ilane,2024-09-05,7.56,type4
Ilane,2024-09-06,6.3,type4
Ilane,2024-09-07,5.67,type4
Ilane,2024-09-08,13.23,type4
Ilane,2024-09-09,6.3,type4
Ilane,2024-09-10,0.0,type4
Ilane,2024-09-11,1.89,type4
Ilane,2024-09-12,0.0,type4
Ilane,2024-09-13,3.78,type4
Ilane,2024-09-14,8.82,type4
Ilane,2024-09-15,7.56,type4
Ilane,2024-09-16,2.52,type4
Ilane,2024-09-17,6.93,type4
Ilane,2024-09-18,3.15,type4
Ilane,2024-09-19,10.08,type4
Ilane,2024-09-20,6.3,type4
Ilane,2024-09-21,11.34,type4
Ilane,2024-09-22,2.52,type4
Ilane,2024-09-23,7.56,type4
Ilane,2024-09-24,3.78,type4
Ilane,2024-09-25,3.78,type4
Ilane,2024-09-26,6.93,type4
Ilane,2024-09-27,8.82,type4
Ilane,2024-09-28,13.86,type4
Ilane,2024-09-29,8.82,type4
Ilane,2024-09-30,3.15,type4
Ilona,2024-09-01,8.19,type4
Ilona,2024-09-02,8.19,type4
Ilona,2024-09-03,1.26,type4
Ilona,2024-09-04,10.71,type4
Ilona,2024-09-05,13.86,type4
Ilona,2024-09-06,15.75,type4
Ilona,2024-09-07,14.49,type4
Ilona,2024-09-08,4.41,type4
Ilona,2024-09-09,17.01,type4
Ilona,2024-09-10,8.82,type4
Ilona,2024-09-11,0.63,type4
Ilona,2024-09-12,17.01,type4
Ilona,2024-09-13,8.19,type4
Ilona,2024-09-14,10.08,type4
Ilona,2024-09-15,22.05,type4
Ilona,2024-09-16,8.82,type4
Ilona,2024-09-17,5.67,type4
Ilona,2024-09-18,6.93,type4
Ilona,2024-09-19,8.82,type4
Ilona,2024-09-20,6.3,type4
Ilona,2024-09-21,0.0,type4
Ilona,2024-09-22,0.63,type4
Ilona,2024-09-23,3.15,type4
Ilona,2024-09-24,9.45,type4
Ilona,2024-09-25,2.52,type4
Ilona,2024-09-26,3.15,type4
Ilona,2024-09-27,1.89,type4
Ilona,2024-09-28,2.52,type4
Ilona,2024-09-29,24.57,type4
Ilona,2024-09-30,6.3,type4
Irvine,2024-09-01,12.6,type4
Irvine,2024-09-02,8.82,type4
Irvine,2024-09-03,3.78,type4
Irvine,2024-09-04,5.04,type4
Irvine,2024-09-05,5.67,type4
Irvine,2024-09-06,4.41,type4
Irvine,2024-09-07,6.3,type4
Irvine,2024-09-08,8.82,type4
Irvine,2024-09-09,13.86,type4
Irvine,2024-09-10,8.19,type4
Irvine,2024-09-11,2.52,type4
Irvine,2024-09-12,8.82,type4
Irvine,2024-09-13,10.71,type4
Irvine,2024-09-14,1.89,type4
Irvine,2024-09-15,2.52,type4
Irvine,2024-09-16,11.97,type4
Irvine,2024-09-17,1.89,type4
Irvine,2024-09-18,11.97,type4
Irvine,2024-09-19,6.93,type4
Irvine,2024-09-20,6.3,type4
Irvine,2024-09-21,8.19,type4
Irvine,2024-09-22,10.71,type4
Irvine,2024-09-23,5.67,type4
Irvine,2024-09-24,11.34,type4
Irvine,2024-09-25,1.89,type4
Irvine,2024-09-26,5.67,type4
Irvine,2024-09-27,1.26,type4
Irvine,2024-09-28,6.93,type4
Irvine,2024-09-29,7.56,type4
Irvine,2024-09-30,10.08,type4
Jolan,2024-09-01,6.93,type4
Jolan,2024-09-02,5.67,type4
Jolan,2024-09-03,1.26,type4
Jolan,2024-09-04,1.26,type4
Jolan,2024-09-05,6.93,type4
Jolan,2024-09-06,6.93,type4
Jolan,2024-09-07,1.89,type4
Jolan,2024-09-08,11.34,type4
Jolan,2024-09-09,6.3,type4
Jolan,2024-09-10,8.82,type4
Jolan,2024-09-11,8.19,type4
Jolan,2024-09-12,2.52,type4
Jolan,2024-09-13,4.41,type4
Jolan,2024-09-14,2.52,type4
Jolan,2024-09-15,5.67,type4
Jolan,2024-09-16,2.52,type4
Jolan,2024-09-17,3.78,type4
Jolan,2024-09-18,5.67,type4
Jolan,2024-09-19,2.52,type4
Jolan,2024-09-20,6.93,type4
Jolan,2024-09-21,12.6,type4
Jolan,2024-09-22,8.82,type4
Jolan,2024-09-23,0.0,type4
Jolan,2024-09-24,6.3,type4
Jolan,2024-09-25,10.08,type4
Jolan,2024-09-26,3.15,type4
Jolan,2024-09-27,4.41,type4
Jolan,2024-09-28,14.49,type4
Jolan,2024-09-29,7.56,type4
Jolan,2024-09-30,1.26,type4
Kylian,2024-09-01,5.04,type4
Kylian,2024-09-02,8.19,type4
Kylian,2024-09-03,6.3,type4
Kylian,2024-09-04,3.78,type4
Kylian,2024-09-05,9.45,type4
Kylian,2024-09-06,4.41,type4
Kylian,2024-09-07,1.26,type4
Kylian,2024-09-08,18.9,type4
Kylian,2024-09-09,8.19,type4
Kylian,2024-09-10,3.78,type4
Kylian,2024-09-11,7.56,type4
Kylian,2024-09-12,10.71,type4
Kylian,2024-09-13,8.82,type4
Kylian,2024-09-14,23.31,type4
Kylian,2024-09-15,8.82,type4
Kylian,2024-09-16,6.3,type4
Kylian,2024-09-17,8.19,type4
Kylian,2024-09-18,1.26,type4
Kylian,2024-09-19,4.41,type4
Kylian,2024-09-20,8.82,type4
Kylian,2024-09-21,10.08,type4
Kylian,2024-09-22,12.6,type4
Kylian,2024-09-23,11.97,type4
Kylian,2024-09-24,18.27,type4
Kylian,2024-09-25,3.15,type4
Kylian,2024-09-26,7.56,type4
Kylian,2024-09-27,5.67,type4
Kylian,2024-09-28,4.41,type4
Kylian,2024-09-29,0.63,type4
Kylian,2024-09-30,8.82,type4
Lucas,2024-09-01,1.89,type4
Lucas,2024-09-02,0.63,type4
Lucas,2024-09-03,1.89,type4
Lucas,2024-09-04,5.67,type4
Lucas,2024-09-05,5.04,type4
Lucas,2024-09-06,15.12,type4
Lucas,2024-09-07,8.82,type4
Lucas,2024-09-08,12.6,type4
Lucas,2024-09-09,5.67,type4
Lucas,2024-09-10,15.12,type4
Lucas,2024-09-11,4.41,type4
Lucas,2024-09-12,6.93,type4
Lucas,2024-09-13,7.56,type4
Lucas,2024-09-14,7.56,type4
Lucas,2024-09-15,10.08,type4
Lucas,2024-09-16,6.93,type4
Lucas,2024-09-17,5.67,type4
Lucas,2024-09-18,4.41,type4
Lucas,2024-09-19,6.93,type4
Lucas,2024-09-20,16.38,type4
Lucas,2024-09-21,9.45,type4
Lucas,2024-09-22,9.45,type4
Lucas,2024-09-23,2.52,type4
Lucas,2024-09-24,4.41,type4
Lucas,2024-09-25,6.3,type4
Lucas,2024-09-26,16.38,type4
Lucas,2024-09-27,8.82,type4
Lucas,2024-09-28,10.71,type4
Lucas,2024-09-29,6.93,type4
Lucas,2024-09-30,3.78,type4
Malik,2024-09-01,15.12,type4
Malik,2024-09-02,1.26,type4
Malik,2024-09-03,6.93,type4
Malik,2024-09-04,1.26,type4
Malik,2024-09-05,3.78,type4
Malik,2024-09-06,5.67,type4
Malik,2024-09-07,18.9,type4
Malik,2024-09-08,3.15,type4
Malik,2024-09-09,6.3,type4
Malik,2024-09-10,6.3,type4
Malik,2024-09-11,8.82,type4
Malik,2024-09-12,0.63,type4
Malik,2024-09-13,12.6,type4
Malik,2024-09-14,7.56,type4
Malik,2024-09-15,5.67,type4
Malik,2024-09-16,17.64,type4
Malik,2024-09-17,8.82,type4
Malik,2024-09-18,6.3,type4
Malik,2024-09-19,7.56,type4
Malik,2024-09-20,8.19,type4
Malik,2024-09-21,10.71,type4
Malik,2024-09-22,10.71,type4
Malik,2024-09-23,4.41,type4
Malik,2024-09-24,2.52,type4
Malik,2024-09-25,3.78,type4
Malik,2024-09-26,12.6,type4
Malik,2024-09-27,6.3,type4
Malik,2024-09-28,13.23,type4
Malik,2024-09-29,6.93,type4
Malik,2024-09-30,8.82,type4
Marwane,2024-09-01,2.52,type4
Marwane,2024-09-02,6.3,type4
Marwane,2024-09-03,6.93,type4
Marwane,2024-09-04,5.67,type4
Marwane,2024-09-05,3.15,type4
Marwane,2024-09-06,8.82,type4
Marwane,2024-09-07,6.3,type4
Marwane,2024-09-08,5.67,type4
Marwane,2024-09-09,2.52,type4
Marwane,2024-09-10,2.52,type4
Marwane,2024-09-11,9.45,type4
Marwane,2024-09-12,5.04,type4
Marwane,2024-09-13,13.86,type4
Marwane,2024-09-14,9.45,type4
Marwane,2024-09-15,22.05,type4
Marwane,2024-09-16,8.19,type4
Marwane,2024-09-17,3.15,type4
Marwane,2024-09-18,3.15,type4
Marwane,2024-09-19,4.41,type4
Marwane,2024-09-20,5.67,type4
Marwane,2024-09-21,2.52,type4
Marwane,2024-09-22,4.41,type4
Marwane,2024-09-23,7.56,type4
Marwane,2024-09-24,17.64,type4
Marwane,2024-09-25,5.67,type4
Marwane,2024-09-26,3.78,type4
Marwane,2024-09-27,6.93,type4
Marwane,2024-09-28,8.19,type4
Marwane,2024-09-29,10.08,type4
Marwane,2024-09-30,8.19,type4
Matéo,2024-09-01,0.0,type4
Matéo,2024-09-02,8.19,type4
Matéo,2024-09-03,3.78,type4
Matéo,2024-09-04,7.56,type4
Matéo,2024-09-05,3.78,type4
Matéo,2024-09-06,3.15,type4
Matéo,2024-09-07,9.45,type4
Matéo,2024-09-08,9.45,type4
Matéo,2024-09-09,8.82,type4
Matéo,2024-09-10,11.34,type4
Matéo,2024-09-11,7.56,type4
Matéo,2024-09-12,1.89,type4
Matéo,2024-09-13,3.78,type4
Matéo,2024-09-14,5.04,type4
Matéo,2024-09-15,10.71,type4
Matéo,2024-09-16,4.41,type4
Matéo,2024-09-17,10.08,type4
Matéo,2024-09-18,7.56,type4
Matéo,2024-09-19,6.3,type4
Matéo,2024-09-20,8.82,type4
Matéo,2024-09-21,11.97,type4
Matéo,2024-09-22,10.08,type4
Matéo,2024-09-23,7.56,type4
Matéo,2024-09-24,5.67,type4
Matéo,2024-09-25,8.82,type4
Matéo,2024-09-26,7.56,type4
Matéo,2024-09-27,5.67,type4
Matéo,2024-09-28,17.64,type4
Matéo,2024-09-29,3.78,type4
Matéo,2024-09-30,4.41,type4
Maxime,2024-09-01,7.56,type4
Maxime,2024-09-02,8.19,type4
Maxime,2024-09-03,1.26,type4
Maxime,2024-09-04,5.67,type4
Maxime,2024-09-05,4.41,type4
Maxime,2024-09-06,8.19,type4
Maxime,2024-09-07,2.52,type4
